gloss,video_id,frame_start,frame_end,fps
blue,1000,1,-1,25
blue,1001,1,-1,25
blue,1002,1,-1,25
blue,1003,1,-1,25
blue,1004,1,-1,25
blue,1005,1,-1,25
blue,1006,1,-1,25
blue,1007,1,-1,25
book,1100,1,-1,25
book,1101,1,-1,25
book,1102,1,-1,25
book,1103,1,-1,25
book,1104,1,-1,25
book,1105,1,-1,25
book,1106,1,-1,25
book,1107,1,-1,25
bowling,1200,1,-1,25
bowling,1201,1,-1,25
bowling,1202,1,-1,25
bowling,1203,1,-1,25
bowling,1204,1,-1,25
bowling,1205,1,-1,25
bowling,1206,1,-1,25
bowling,1207,1,-1,25
brown,1300,1,-1,25
brown,1301,1,-1,25
brown,1302,1,-1,25
brown,1303,1,-1,25
brown,1304,1,-1,25
brown,1305,1,-1,25
brown,1306,1,-1,25
brown,1307,1,-1,25
but,1400,1,-1,25
but,1401,1,-1,25
but,1402,1,-1,25
but,1403,1,-1,25
but,1404,1,-1,25
but,1405,1,-1,25
but,1406,1,-1,25
but,1407,1,-1,25
candy,1500,1,-1,25
candy,1501,1,-1,25
candy,1502,1,-1,25
candy,1503,1,-1,25
candy,1504,1,-1,25
candy,1505,1,-1,25
candy,1506,1,-1,25
candy,1507,1,-1,25
chair,1600,1,-1,25
chair,1601,1,-1,25
chair,1602,1,-1,25
chair,1603,1,-1,25
chair,1604,1,-1,25
chair,1605,1,-1,25
chair,1606,1,-1,25
chair,1607,1,-1,25
change,1700,1,-1,25
change,1701,1,-1,25
change,1702,1,-1,25
change,1703,1,-1,25
change,1704,1,-1,25
change,1705,1,-1,25
change,1706,1,-1,25
change,1707,1,-1,25
cheat,1800,1,-1,25
cheat,1801,1,-1,25
cheat,1802,1,-1,25
cheat,1803,1,-1,25
cheat,1804,1,-1,25
cheat,1805,1,-1,25
cheat,1806,1,-1,25
cheat,1807,1,-1,25
city,1900,1,-1,25
city,1901,1,-1,25
city,1902,1,-1,25
city,1903,1,-1,25
city,1904,1,-1,25
city,1905,1,-1,25
city,1906,1,-1,25
city,1907,1,-1,25
clothes,3000,1,-1,25
clothes,3001,1,-1,25
clothes,3002,1,-1,25
clothes,3003,1,-1,25
clothes,3004,1,-1,25
clothes,3005,1,-1,25
clothes,3006,1,-1,25
clothes,3007,1,-1,25
color,3100,1,-1,25
color,3101,1,-1,25
color,3102,1,-1,25
color,3103,1,-1,25
color,3104,1,-1,25
color,3105,1,-1,25
color,3106,1,-1,25
color,3107,1,-1,25
cook,3200,1,-1,25
cook,3201,1,-1,25
cook,3202,1,-1,25
cook,3203,1,-1,25
cook,3204,1,-1,25
cook,3205,1,-1,25
cook,3206,1,-1,25
cook,3207,1,-1,25
