gloss,video_id,frame_start,frame_end,fps
cow,3300,1,-1,25
cow,3301,1,-1,25
cow,3302,1,-1,25
cow,3303,1,-1,25
cow,3304,1,-1,25
cow,3305,1,-1,25
cow,3306,1,-1,25
cow,3307,1,-1,25
dance,3400,1,-1,25
dance,3401,1,-1,25
dance,3402,1,-1,25
dance,3403,1,-1,25
dance,3404,1,-1,25
dance,3405,1,-1,25
dance,3406,1,-1,25
dance,3407,1,-1,25
dark,3500,1,-1,25
dark,3501,1,-1,25
dark,3502,1,-1,25
dark,3503,1,-1,25
dark,3504,1,-1,25
dark,3505,1,-1,25
dark,3506,1,-1,25
dark,3507,1,-1,25
deaf,3600,1,-1,25
deaf,3601,1,-1,25
deaf,3602,1,-1,25
deaf,3603,1,-1,25
deaf,3604,1,-1,25
deaf,3605,1,-1,25
deaf,3606,1,-1,25
deaf,3607,1,-1,25
decide,3700,1,-1,25
decide,3701,1,-1,25
decide,3702,1,-1,25
decide,3703,1,-1,25
decide,3704,1,-1,25
decide,3705,1,-1,25
decide,3706,1,-1,25
decide,3707,1,-1,25
doctor,3800,1,-1,25
doctor,3801,1,-1,25
doctor,3802,1,-1,25
doctor,3803,1,-1,25
doctor,3804,1,-1,25
doctor,3805,1,-1,25
doctor,3806,1,-1,25
doctor,3807,1,-1,25
drink,3900,1,-1,25
drink,3901,1,-1,25
drink,3902,1,-1,25
drink,3903,1,-1,25
drink,3904,1,-1,25
drink,3905,1,-1,25
drink,3906,1,-1,25
drink,3907,1,-1,25
eat,4000,1,-1,25
eat,4001,1,-1,25
eat,4002,1,-1,25
eat,4003,1,-1,25
eat,4004,1,-1,25
eat,4005,1,-1,25
eat,4006,1,-1,25
eat,4007,1,-1,25
enjoy,4100,1,-1,25
enjoy,4101,1,-1,25
enjoy,4102,1,-1,25
enjoy,4103,1,-1,25
enjoy,4104,1,-1,25
enjoy,4105,1,-1,25
enjoy,4106,1,-1,25
enjoy,4107,1,-1,25
family,4200,1,-1,25
family,4201,1,-1,25
family,4202,1,-1,25
family,4203,1,-1,25
family,4204,1,-1,25
family,4205,1,-1,25
family,4206,1,-1,25
family,4207,1,-1,25
fine,4300,1,-1,25
fine,4301,1,-1,25
fine,4302,1,-1,25
fine,4303,1,-1,25
fine,4304,1,-1,25
fine,4305,1,-1,25
fine,4306,1,-1,25
fine,4307,1,-1,25
finish,4400,1,-1,25
finish,4401,1,-1,25
finish,4402,1,-1,25
finish,4403,1,-1,25
finish,4404,1,-1,25
finish,4405,1,-1,25
finish,4406,1,-1,25
finish,4407,1,-1,25
fish,4500,1,-1,25
fish,4501,1,-1,25
fish,4502,1,-1,25
fish,4503,1,-1,25
fish,4504,1,-1,25
fish,4505,1,-1,25
fish,4506,1,-1,25
fish,4507,1,-1,25
forgot,4600,1,-1,25
forgot,4601,1,-1,25
forgot,4602,1,-1,25
forgot,4603,1,-1,25
forgot,4604,1,-1,25
forgot,4605,1,-1,25
forgot,4606,1,-1,25
forgot,4607,1,-1,25
full,4700,1,-1,25
full,4701,1,-1,25
full,4702,1,-1,25
full,4703,1,-1,25
full,4704,1,-1,25
full,4705,1,-1,25
full,4706,1,-1,25
full,4707,1,-1,25
give,4800,1,-1,25
give,4801,1,-1,25
give,4802,1,-1,25
give,4803,1,-1,25
give,4804,1,-1,25
give,4805,1,-1,25
give,4806,1,-1,25
give,4807,1,-1,25
go,4900,1,-1,25
go,4901,1,-1,25
go,4902,1,-1,25
go,4903,1,-1,25
go,4904,1,-1,25
go,4905,1,-1,25
go,4906,1,-1,25
go,4907,1,-1,25
graduate,5000,1,-1,25
graduate,5001,1,-1,25
graduate,5002,1,-1,25
graduate,5003,1,-1,25
graduate,5004,1,-1,25
graduate,5005,1,-1,25
graduate,5006,1,-1,25
graduate,5007,1,-1,25
hat,5100,1,-1,25
hat,5101,1,-1,25
hat,5102,1,-1,25
hat,5103,1,-1,25
hat,5104,1,-1,25
hat,5105,1,-1,25
hat,5106,1,-1,25
hat,5107,1,-1,25
hearing,5200,1,-1,25
hearing,5201,1,-1,25
hearing,5202,1,-1,25
hearing,5203,1,-1,25
hearing,5204,1,-1,25
hearing,5205,1,-1,25
hearing,5206,1,-1,25
hearing,5207,1,-1,25
help,5300,1,-1,25
help,5301,1,-1,25
help,5302,1,-1,25
help,5303,1,-1,25
help,5304,1,-1,25
help,5305,1,-1,25
help,5306,1,-1,25
help,5307,1,-1,25
hot,5400,1,-1,25
hot,5401,1,-1,25
hot,5402,1,-1,25
hot,5403,1,-1,25
hot,5404,1,-1,25
hot,5405,1,-1,25
hot,5406,1,-1,25
hot,5407,1,-1,25
how,5500,1,-1,25
how,5501,1,-1,25
how,5502,1,-1,25
how,5503,1,-1,25
how,5504,1,-1,25
how,5505,1,-1,25
how,5506,1,-1,25
how,5507,1,-1,25
jacket,5600,1,-1,25
jacket,5601,1,-1,25
jacket,5602,1,-1,25
jacket,5603,1,-1,25
jacket,5604,1,-1,25
jacket,5605,1,-1,25
jacket,5606,1,-1,25
jacket,5607,1,-1,25
kiss,5700,1,-1,25
kiss,5701,1,-1,25
kiss,5702,1,-1,25
kiss,5703,1,-1,25
kiss,5704,1,-1,25
kiss,5705,1,-1,25
kiss,5706,1,-1,25
kiss,5707,1,-1,25
